frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
11, 24, 0.0120716, 0.00977719, 0.00587827, 0.00636659, 0.00456403, 0.00981725, 0.0031676, 0.00200264, 0.00392121, 0.00216827, 0.0076515, 0.00737216, 0.00793974, 0.0110773, 0.0123181, 0.00828235, 0.00676527, 0.00643816, 0.00768214, 0.0050615, 0.00952696, 0.00578761, 0.00601488, 0.00735915, 0.00820645, 0.00772813, 0.003223, 0.000105331, 0.00846081, 0.00883296, 0.0061607, 0.00443333, 0.0060777, 0.0233661, 0.0101626, 0.00711151, 0.0100384
12, 24, 0.0119183, 0.00969132, 0.00552724, 0.00616281, 0.00448717, 0.00962835, 0.0032299, 0.00211263, 0.00398457, 0.0022134, 0.00760577, 0.00746464, 0.00791636, 0.0108807, 0.0123877, 0.00828406, 0.00681071, 0.00648144, 0.0075913, 0.00506279, 0.00974031, 0.00582257, 0.00605048, 0.00735207, 0.00815812, 0.0077657, 0.00317839, 0.000167102, 0.00863713, 0.00897559, 0.00628451, 0.00459627, 0.00603731, 0.0233167, 0.0100391, 0.0070182, 0.00990645
13, 24, 0.0118058, 0.00961224, 0.00520805, 0.0059553, 0.00441147, 0.00939986, 0.00331138, 0.0022376, 0.00407211, 0.0022707, 0.00757343, 0.00758497, 0.00790441, 0.0106803, 0.0124661, 0.0082966, 0.0068703, 0.00653549, 0.00755699, 0.00509411, 0.00994493, 0.0058629, 0.00609392, 0.00735172, 0.00810784, 0.00779531, 0.00314387, 0.000326999, 0.00883634, 0.00913823, 0.00643041, 0.00478181, 0.0060383, 0.0233361, 0.00994415, 0.00693967, 0.00980715
14, 24, 0.0117674, 0.00955568, 0.00491034, 0.00573153, 0.0043445, 0.00914166, 0.00340566, 0.00237458, 0.00417273, 0.00233299, 0.0075581, 0.00773455, 0.00790478, 0.0104832, 0.0125491, 0.00831756, 0.00693015, 0.00659192, 0.00758259, 0.00512274, 0.0101426, 0.00590994, 0.00614392, 0.00733368, 0.00805332, 0.00779954, 0.00311308, 0.000554637, 0.00906345, 0.00932392, 0.00660349, 0.00499377, 0.00608512, 0.023416, 0.00986828, 0.00687081, 0.00972986
15, 24, 0.0118232, 0.00952971, 0.0046192, 0.00547598, 0.00429505, 0.00886399, 0.00350747, 0.00252177, 0.00427712, 0.00239498, 0.00756075, 0.00791063, 0.00791473, 0.0102994, 0.0126272, 0.00834151, 0.00697769, 0.00664271, 0.00766774, 0.00512202, 0.0103389, 0.00596434, 0.00619942, 0.00728226, 0.00800008, 0.00776692, 0.00308393, 0.00084548, 0.00932479, 0.00953278, 0.00680444, 0.00523195, 0.00618089, 0.0235508, 0.00980112, 0.00680558, 0.00966274
16, 24, 0.0119554, 0.00952276, 0.00432682, 0.00518058, 0.00427098, 0.00857677, 0.00361321, 0.00267574, 0.00438307, 0.00245571, 0.00757812, 0.00810691, 0.00792973, 0.0101413, 0.0126857, 0.00836086, 0.00700134, 0.0066794, 0.00781226, 0.0050873, 0.010551, 0.00602453, 0.00625717, 0.00719757, 0.00796553, 0.00769728, 0.00306196, 0.00119191, 0.00962681, 0.00976689, 0.00703336, 0.00549826, 0.00632844, 0.0237383, 0.00973233, 0.00673773, 0.00959438
17, 25, 0.0121184, 0.00951023, 0.00402782, 0.00484737, 0.0042725, 0.00829008, 0.0037184, 0.00282814, 0.00449181, 0.00251597, 0.00760294, 0.0083146, 0.00794601, 0.0100219, 0.0127067, 0.00836746, 0.00699403, 0.0066968, 0.00801692, 0.00502509, 0.0107972, 0.00608962, 0.0063142, 0.00709606, 0.00796841, 0.00760162, 0.0030569, 0.00158274, 0.0099709, 0.0100309, 0.00729217, 0.00579768, 0.00653365, 0.0239799, 0.00965226, 0.00666203, 0.00951365
18, 25, 0.0122834, 0.00947898, 0.00371879, 0.00448676, 0.00428553, 0.00800949, 0.00381705, 0.00296838, 0.00460217, 0.00257523, 0.00762555, 0.00852333, 0.00796274, 0.00995047, 0.0126755, 0.00835531, 0.00695918, 0.00669867, 0.00828368, 0.00493708, 0.0110825, 0.006164, 0.00637359, 0.00699987, 0.00801554, 0.00749166, 0.00307811, 0.0020059, 0.0103522, 0.0103262, 0.00758076, 0.00613156, 0.00680015, 0.02428, 0.00955368, 0.00657559, 0.00941169
19, 25, 0.0124608, 0.00943871, 0.00340784, 0.00411709, 0.00428829, 0.00773465, 0.00390423, 0.00309107, 0.00471011, 0.00263159, 0.00763777, 0.00872062, 0.00798264, 0.00993004, 0.012585, 0.00832301, 0.006911, 0.00669712, 0.0086132, 0.00482602, 0.0114041, 0.00625355, 0.00644229, 0.00692402, 0.00810452, 0.00737157, 0.00313237, 0.00244627, 0.0107649, 0.010647, 0.00789279, 0.00649306, 0.00712743, 0.024647, 0.00943451, 0.0064798, 0.00928442
20, 25, 0.0126796, 0.00941237, 0.00311185, 0.00376223, 0.0042673, 0.00746507, 0.00397913, 0.00320156, 0.00481238, 0.00268343, 0.0076351, 0.00889215, 0.00801049, 0.00995793, 0.0124369, 0.00827323, 0.00687162, 0.0067073, 0.00900373, 0.0047045, 0.0117642, 0.00635786, 0.00652403, 0.00687219, 0.00822655, 0.0072381, 0.00322394, 0.00288418, 0.0112052, 0.0109824, 0.00821635, 0.00686829, 0.00751186, 0.0250925, 0.00929828, 0.0063801, 0.00913365
21, 26, 0.0129543, 0.00941958, 0.00283959, 0.00344799, 0.00422457, 0.00720302, 0.00404526, 0.00331549, 0.0049091, 0.00273028, 0.00761586, 0.00902629, 0.00805054, 0.0100283, 0.0122368, 0.00820953, 0.00686904, 0.00674478, 0.0094517, 0.0045963, 0.0121728, 0.00646896, 0.00661832, 0.00684014, 0.00835765, 0.00708587, 0.0033499, 0.00329592, 0.0116669, 0.0113187, 0.0085369, 0.00724018, 0.00794823, 0.0256272, 0.009153, 0.00628463, 0.00896653
22, 26, 0.0132661, 0.00946457, 0.00258255, 0.00320014, 0.00417078, 0.0069532, 0.00410792, 0.00345064, 0.00500218, 0.00277211, 0.00757898, 0.00911879, 0.00810574, 0.0101354, 0.0119897, 0.00813347, 0.00692685, 0.00682053, 0.00995664, 0.00453614, 0.0126477, 0.00657768, 0.00672424, 0.00681897, 0.00846901, 0.00691041, 0.00350322, 0.00365686, 0.0121394, 0.0116413, 0.0088397, 0.00759029, 0.00842947, 0.0262597, 0.00900825, 0.00620171, 0.00879268
23, 27, 0.0135726, 0.00953715, 0.00232613, 0.00303894, 0.00411466, 0.00672203, 0.00416989, 0.00361603, 0.00508931, 0.00280708, 0.00752363, 0.00917519, 0.00817815, 0.0102761, 0.0116975, 0.00804366, 0.00704844, 0.00693386, 0.0105251, 0.00455856, 0.0132168, 0.00668071, 0.00684248, 0.00679155, 0.00855902, 0.00670609, 0.00368144, 0.00394491, 0.0126096, 0.0119387, 0.00911375, 0.00790406, 0.00894748, 0.0269974, 0.00887308, 0.00613836, 0.00862158
