15.54,10.537,48.362,5.226
15.56,11.091,45.579,5.5674
15.58,11.362,44.143,5.7946
15.6,11.206,44.399,5.6876
15.62,10.928,46.273,5.2036
15.64,11.13,48.926,4.5365
15.66,11.98,50.87,3.9417
15.68,12.856,50.774,3.5086
15.7,12.986,48.213,3.1765
15.72,12.192,43.802,2.9035
15.74,10.895,38.726,2.7201
15.76,9.6692,34.121,2.6482
15.78,8.8482,30.683,2.6181
15.8,8.3855,28.581,2.5087
15.82,8.0297,27.543,2.2678
15.84,7.625,27.155,1.963
15.86,7.207,27.07,1.7088
15.88,6.8976,27.051,1.5801
15.9,6.7658,26.947,1.5901
15.92,6.768,26.669,1.709
15.94,6.8305,26.214,1.8738
15.96,6.9464,25.719,2.0192
15.98,7.1286,25.41,2.1154
16,7.3353,25.445,2.1704
