frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 24, 0.00927378, 0.00590236, 0.00868213, 0.00612753, 0.00382871, 0.00814894, 0.00349006, 0.00269464, 0.00398327, 0.00223385, 0.00859206, 0.00767019, 0.0100486, 0.0144041, 0.00947682, 0.00769943, 0.00669566, 0.0058922, 0.00317839, 0.0024673, 0.00930158, 0.00383037, 0.00370484, 0.00973749, 0.00625619, 0.00891056, 0.00284444, 0.00895291, 0.00862721, 0.00566296, 0.00556028, 0.00121771, 0.00443736, 0.0179306, 0.00985698, 0.0072668, 0.009656
1, 24, 0.00937492, 0.00596546, 0.00868633, 0.00611591, 0.00382374, 0.00818313, 0.00346115, 0.00267664, 0.00396795, 0.00222285, 0.00853055, 0.0076918, 0.0100093, 0.0143174, 0.00947987, 0.00767738, 0.00669223, 0.00588649, 0.00324127, 0.00248307, 0.0093342, 0.00382388, 0.00370311, 0.00974592, 0.00619296, 0.00893354, 0.00281346, 0.00896331, 0.00862448, 0.00566991, 0.00557865, 0.00125207, 0.00438192, 0.0178281, 0.00985911, 0.00726288, 0.0096773
2, 24, 0.00944688, 0.006027, 0.00867751, 0.00610756, 0.003824, 0.00821069, 0.00343869, 0.00266762, 0.00394737, 0.00220806, 0.00845717, 0.00770771, 0.00995965, 0.0142189, 0.00948031, 0.00765163, 0.00668968, 0.00588203, 0.00328158, 0.00252914, 0.00929457, 0.00382296, 0.00371037, 0.0097904, 0.00612589, 0.0089761, 0.00278509, 0.00892831, 0.00858426, 0.00566317, 0.00556411, 0.00127358, 0.00434771, 0.0177669, 0.00986011, 0.00725719, 0.00969379
3, 24, 0.00949178, 0.00608827, 0.00865795, 0.00610635, 0.00382412, 0.0082303, 0.00342363, 0.00267021, 0.00391678, 0.00218607, 0.00837239, 0.00772213, 0.0098985, 0.0141077, 0.00947354, 0.00761769, 0.00667568, 0.0058722, 0.00328839, 0.00259345, 0.00919648, 0.00383077, 0.00372563, 0.0098357, 0.00606377, 0.00902198, 0.00275957, 0.00884323, 0.00850996, 0.00564471, 0.00551383, 0.00127185, 0.00433169, 0.0177531, 0.00986383, 0.0072514, 0.0097113
4, 24, 0.00951862, 0.00615528, 0.00863133, 0.0061155, 0.00382003, 0.00824034, 0.00341641, 0.0026879, 0.00387335, 0.00215464, 0.00827482, 0.00774058, 0.00982416, 0.0139801, 0.00945902, 0.007573, 0.0066426, 0.00585305, 0.00325748, 0.00267177, 0.00905083, 0.00384869, 0.00374555, 0.00983765, 0.00600156, 0.00904821, 0.00273113, 0.00870388, 0.00840596, 0.0056204, 0.00542833, 0.00123504, 0.00433168, 0.0177944, 0.00987547, 0.00724829, 0.00973715
5, 24, 0.0095453, 0.0062379, 0.00860509, 0.00613845, 0.00381152, 0.00823664, 0.00341818, 0.00272614, 0.00381795, 0.00211413, 0.00816121, 0.00776922, 0.00973515, 0.0138292, 0.00944132, 0.00751825, 0.00659448, 0.00582719, 0.00319648, 0.00276603, 0.00886043, 0.00387575, 0.00376836, 0.00977284, 0.00592685, 0.00904077, 0.00269333, 0.00850743, 0.00827639, 0.00559785, 0.00531156, 0.00115547, 0.00434524, 0.0178994, 0.00990046, 0.00725071, 0.00977857
6, 24, 0.00959495, 0.00634793, 0.00858922, 0.00617725, 0.00380153, 0.0082126, 0.00343124, 0.00279063, 0.0037548, 0.00206771, 0.00802865, 0.00781355, 0.00963123, 0.0136458, 0.00942918, 0.00745802, 0.0065436, 0.00580225, 0.00311538, 0.00287788, 0.008624, 0.00391067, 0.00379624, 0.00965431, 0.00583572, 0.00900264, 0.00264708, 0.00825647, 0.00812608, 0.00558469, 0.00517173, 0.00103361, 0.00436885, 0.0180746, 0.0099439, 0.00726153, 0.00984209
7, 24, 0.00968694, 0.00649464, 0.00858643, 0.00622762, 0.00379333, 0.00816136, 0.00345916, 0.00288417, 0.00369037, 0.00202102, 0.0078771, 0.00787731, 0.00951425, 0.013422, 0.00943319, 0.00740012, 0.0065012, 0.00578565, 0.00301772, 0.00300687, 0.0083406, 0.00395311, 0.00383292, 0.00952023, 0.00573775, 0.00895053, 0.0026007, 0.00796001, 0.0079619, 0.00558679, 0.00502105, 0.000878883, 0.00439785, 0.0183212, 0.0100096, 0.00728288, 0.00993268
8, 24, 0.00982725, 0.00668021, 0.00858012, 0.00627227, 0.00378884, 0.00807934, 0.00350618, 0.00300459, 0.00363216, 0.00198125, 0.00771196, 0.00796107, 0.00938803, 0.0131549, 0.00946276, 0.00735327, 0.00647288, 0.00578116, 0.00290832, 0.00315423, 0.00800972, 0.00400392, 0.00388097, 0.00941087, 0.00564186, 0.0089032, 0.00256149, 0.00763116, 0.00779075, 0.00560684, 0.00487362, 0.000706414, 0.00442881, 0.0186334, 0.0100992, 0.00731568, 0.0100524
9, 24, 0.0100019, 0.00689487, 0.00853231, 0.00627846, 0.00378908, 0.00796652, 0.00357627, 0.00314704, 0.00358809, 0.00195588, 0.0075438, 0.00806186, 0.0092572, 0.012849, 0.0095225, 0.00732342, 0.00645796, 0.00578779, 0.00280485, 0.00332342, 0.00762784, 0.00406225, 0.00393975, 0.00935142, 0.0055486, 0.00887262, 0.00253091, 0.0072818, 0.00761756, 0.00564532, 0.00474179, 0.000528732, 0.00446245, 0.0190002, 0.0102107, 0.00735884, 0.0101982
