frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
11, 21, 0.0118261, 0.00841675, 0.00753976, 0.00573716, 0.00337672, 0.00688258, 0.00445338, 0.00569473, 0.00247277, 0.00134877, 0.00698553, 0.00936311, 0.0078403, 0.00965527, 0.00958642, 0.00741335, 0.0040237, 0.00432161, 0.00272799, 0.00462583, 0.004822, 0.00471988, 0.00444545, 0.00507323, 0.00317417, 0.00438427, 0.00235733, 0.00319049, 0.00499766, 0.00566547, 0.00410106, 0.000302013, 0.0043998, 0.0210491, 0.0133572, 0.0105909, 0.0137245
12, 22, 0.0119798, 0.00862694, 0.00729929, 0.00569974, 0.00343642, 0.00672686, 0.00459317, 0.00591295, 0.00257941, 0.00139136, 0.0070352, 0.00947988, 0.00780937, 0.00948116, 0.00970007, 0.00744208, 0.00398937, 0.00434665, 0.00265636, 0.00458225, 0.00466874, 0.00482952, 0.00451861, 0.00555346, 0.00328979, 0.00473524, 0.00237524, 0.00293752, 0.00502954, 0.00577543, 0.00415818, 0.000489732, 0.00460773, 0.021123, 0.0133779, 0.010598, 0.0137793
13, 22, 0.0121186, 0.0088296, 0.00702482, 0.00564896, 0.00353246, 0.00656792, 0.00473095, 0.0061215, 0.00271052, 0.00144397, 0.00710597, 0.00963258, 0.00778998, 0.00930307, 0.00982304, 0.00748061, 0.00393409, 0.00436235, 0.00265832, 0.0045665, 0.00448269, 0.00494636, 0.00459212, 0.00589781, 0.00339211, 0.0049831, 0.00239772, 0.00265905, 0.00507928, 0.00590899, 0.0042389, 0.000703879, 0.00476307, 0.0213, 0.0134437, 0.0106345, 0.013877
14, 22, 0.0122595, 0.0090278, 0.00671493, 0.00557812, 0.00366777, 0.00641602, 0.00486566, 0.00631665, 0.00286521, 0.00150605, 0.0072, 0.00982004, 0.00778211, 0.00912313, 0.00995395, 0.0075282, 0.00386709, 0.00437392, 0.00271524, 0.00459002, 0.00426221, 0.00507018, 0.00466894, 0.0061341, 0.00347415, 0.00514482, 0.00241871, 0.00236388, 0.00514655, 0.00605774, 0.00434071, 0.000930909, 0.00485823, 0.0215771, 0.0135543, 0.0106995, 0.0140162
15, 22, 0.012438, 0.00923406, 0.0063589, 0.00547179, 0.00383134, 0.00628176, 0.00499004, 0.00648906, 0.00303152, 0.0015729, 0.00731766, 0.010041, 0.0077864, 0.00894614, 0.0100855, 0.00758153, 0.00380046, 0.00438803, 0.00282228, 0.00465876, 0.00401065, 0.00519977, 0.00475142, 0.00627803, 0.00352304, 0.00523135, 0.00242776, 0.00206117, 0.00523403, 0.00621401, 0.00445965, 0.00115935, 0.0048877, 0.0219485, 0.0137055, 0.0107893, 0.0141924
16, 23, 0.0126832, 0.00945776, 0.00594628, 0.00531995, 0.0040036, 0.00616853, 0.00509603, 0.00662797, 0.00319531, 0.00163973, 0.00745762, 0.0102941, 0.00780294, 0.00877665, 0.01021, 0.00763668, 0.00374956, 0.0044142, 0.0029974, 0.00477702, 0.00373361, 0.00533549, 0.0048423, 0.00635101, 0.0035351, 0.0052542, 0.00241824, 0.00175789, 0.00534831, 0.00637536, 0.0045918, 0.00138622, 0.00484643, 0.0224043, 0.0138898, 0.0108963, 0.0143974
17, 23, 0.0129948, 0.00969183, 0.00547981, 0.00512945, 0.00416588, 0.00607223, 0.00517753, 0.00672321, 0.00334622, 0.00170397, 0.00761672, 0.0105755, 0.00783091, 0.00861871, 0.0103221, 0.00769059, 0.0037232, 0.00445945, 0.00327341, 0.00492294, 0.00344314, 0.00547989, 0.00494338, 0.0063687, 0.00351521, 0.00522203, 0.00238808, 0.00145845, 0.00549759, 0.0065458, 0.00473632, 0.00161803, 0.00472909, 0.0229328, 0.0140964, 0.0110107, 0.0146202
18, 22, 0.0133613, 0.0099231, 0.00498202, 0.00491837, 0.00430597, 0.00598395, 0.00523081, 0.00676655, 0.0034795, 0.00176563, 0.00778825, 0.0108761, 0.00786851, 0.00847777, 0.0104168, 0.0077403, 0.00371694, 0.00452444, 0.00368142, 0.00504203, 0.0031547, 0.00563734, 0.00505532, 0.00632156, 0.00346345, 0.00513176, 0.00233566, 0.0011638, 0.00568783, 0.0067337, 0.00489566, 0.0018663, 0.00453223, 0.0235261, 0.0143149, 0.0111228, 0.0148501
19, 22, 0.0137837, 0.0101477, 0.0044868, 0.00470308, 0.00441756, 0.00589359, 0.00525484, 0.00675391, 0.00359548, 0.00182652, 0.00796045, 0.0111814, 0.00791344, 0.00836175, 0.0104852, 0.00778187, 0.00371978, 0.00460591, 0.00423824, 0.00508314, 0.0028766, 0.00581186, 0.00517677, 0.00618185, 0.00337401, 0.00497353, 0.00226072, 0.000873962, 0.00592232, 0.00694661, 0.00507412, 0.00214061, 0.00425703, 0.024184, 0.0145372, 0.0112259, 0.0150791
20, 20, 0.0142666, 0.0103689, 0.0040221, 0.00449349, 0.00449563, 0.00579143, 0.00525208, 0.00668906, 0.00369645, 0.00188833, 0.00811805, 0.0114737, 0.00796358, 0.00827988, 0.0105173, 0.00781129, 0.00372635, 0.004703, 0.00493203, 0.00503213, 0.00261051, 0.00600484, 0.00530447, 0.00593391, 0.00325002, 0.00474369, 0.00216955, 0.000598722, 0.00620364, 0.00718743, 0.00527379, 0.00244411, 0.00391299, 0.0249074, 0.0147573, 0.0113172, 0.0153027
