frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 174, 0.00522943, 0.00396558, 0.00196865, 0.00253554, 0.00179119, 0.00261203, 0.00148322, 0.00237636, 0.00307317, 0.00132724, 0.00461326, 0.00432674, 0.0030478, 0.0108066, 0.0112022, 0.00400138, 0.00713017, 0.00671045, 0.00955528, 0.0046247, 0.0104248, 0.0056217, 0.00559233, 0.00897282, 0.00434199, 0.0107258, 0.00265859, 0.00274293, 0.00235119, 0.000533947, 0.000563919, 0.000501439, 0.00302751, 0.00645668, 0.00077464, 0.000177073, 0.000960036
1, 173, 0.00531074, 0.00406606, 0.00205586, 0.00263814, 0.00187962, 0.00255369, 0.00158873, 0.00246475, 0.00309819, 0.00134018, 0.00452905, 0.00437251, 0.00298275, 0.010719, 0.0112903, 0.00404234, 0.00707944, 0.00667112, 0.00958177, 0.00469486, 0.0104093, 0.00559093, 0.00563414, 0.00915933, 0.00417151, 0.0107617, 0.00263331, 0.00258729, 0.00224825, 0.00052813, 0.000509115, 0.000482574, 0.00288032, 0.00645333, 0.000717757, 6.18998e-05, 0.000900476
2, 171, 0.00543244, 0.00419183, 0.00212304, 0.00273998, 0.00198174, 0.00246887, 0.00171086, 0.00257135, 0.00313358, 0.00136104, 0.00445159, 0.00440756, 0.00292062, 0.010634, 0.0113733, 0.00408243, 0.00703994, 0.00664964, 0.00961062, 0.00478312, 0.0103871, 0.00557814, 0.00569012, 0.0093661, 0.00397946, 0.0108058, 0.0025972, 0.00244201, 0.00214428, 0.000518006, 0.000462996, 0.000462135, 0.00273667, 0.0064557, 0.000659409, 7.11306e-05, 0.000838068
3, 170, 0.00559167, 0.00433833, 0.00216506, 0.00283524, 0.00209867, 0.00236651, 0.00184488, 0.00269484, 0.0031817, 0.00139021, 0.00438836, 0.00443774, 0.00287844, 0.0105628, 0.0114555, 0.00412279, 0.00701047, 0.00664447, 0.00963439, 0.00487904, 0.0103664, 0.00558706, 0.00575383, 0.0095646, 0.00378726, 0.0108545, 0.00254856, 0.00231178, 0.00205032, 0.000505538, 0.000426567, 0.000442673, 0.00260577, 0.00645652, 0.000605786, 0.000183285, 0.000778454
4, 169, 0.00576508, 0.00448881, 0.00218406, 0.00291843, 0.00222633, 0.00225866, 0.00198346, 0.00282975, 0.00324019, 0.00142577, 0.0043395, 0.00447284, 0.00286627, 0.0105109, 0.0115413, 0.00416459, 0.0069841, 0.00664766, 0.00964511, 0.00497013, 0.010349, 0.00561164, 0.00581652, 0.00971299, 0.00361954, 0.0108952, 0.00248562, 0.00219941, 0.00197498, 0.000493012, 0.000398508, 0.000426056, 0.00249307, 0.00644969, 0.000561955, 0.000287707, 0.000727011
5, 168, 0.00591895, 0.00461978, 0.00218406, 0.00298255, 0.00235489, 0.00215825, 0.00211775, 0.00296661, 0.00330163, 0.00146389, 0.0043001, 0.00452245, 0.00288457, 0.0104774, 0.0116315, 0.00420747, 0.0069508, 0.00664796, 0.00963324, 0.005045, 0.0103386, 0.00564028, 0.00586761, 0.00976156, 0.00350067, 0.0109064, 0.002409, 0.00210481, 0.00192097, 0.000482877, 0.000375581, 0.000413423, 0.0023998, 0.00643012, 0.000532059, 0.000381518, 0.000688042
6, 167, 0.00602445, 0.00471107, 0.00216879, 0.00302129, 0.00247287, 0.00207981, 0.00223956, 0.0030941, 0.00335759, 0.00150089, 0.00426053, 0.00459229, 0.00292373, 0.0104556, 0.0117215, 0.0042492, 0.00690872, 0.00664027, 0.00957657, 0.00509585, 0.0103408, 0.00566356, 0.00589438, 0.00968929, 0.00343478, 0.0108708, 0.00232053, 0.00202591, 0.00188396, 0.000477437, 0.000353852, 0.000404978, 0.00232337, 0.00638745, 0.000519238, 0.000464952, 0.000664642
7, 166, 0.00606457, 0.00475056, 0.00213909, 0.00303009, 0.00257322, 0.00203568, 0.00234396, 0.00320288, 0.00340367, 0.0015349, 0.00420886, 0.00468274, 0.00296696, 0.0104344, 0.0118048, 0.00428695, 0.00686638, 0.00662927, 0.00944808, 0.00511741, 0.0103582, 0.00567831, 0.00588644, 0.00952368, 0.00340142, 0.010789, 0.00222403, 0.00195935, 0.00185459, 0.000478029, 0.000330465, 0.000400037, 0.00225988, 0.00630771, 0.000525945, 0.000535667, 0.000659384
8, 165, 0.00603444, 0.00473513, 0.00209153, 0.00300655, 0.00265757, 0.00202593, 0.00243083, 0.00328867, 0.00344145, 0.00156629, 0.00413563, 0.00479156, 0.00299683, 0.0104023, 0.0118768, 0.00431932, 0.00683603, 0.00662472, 0.00924842, 0.00510778, 0.0103875, 0.00568768, 0.00584621, 0.00932659, 0.00337288, 0.0106831, 0.0021269, 0.00190224, 0.00182546, 0.000484186, 0.000304764, 0.000397601, 0.00220734, 0.00618619, 0.000553079, 0.000588636, 0.000673612
9, 165, 0.00594511, 0.00467345, 0.00201882, 0.00295107, 0.00273763, 0.00203209, 0.00250712, 0.00335535, 0.00347902, 0.00159835, 0.00403877, 0.00491732, 0.0030031, 0.0103522, 0.0119373, 0.00434725, 0.00682912, 0.00663684, 0.00902628, 0.00507711, 0.0104218, 0.00570044, 0.00579417, 0.00916584, 0.00332644, 0.0105857, 0.0020368, 0.00185457, 0.00179726, 0.000494662, 0.000277599, 0.000397001, 0.00216777, 0.00604097, 0.00059654, 0.000621682, 0.000703897
