frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 0, 0.00203486, 0.00151659, 0.00138736, 0.000374934, 0.0033335, 0.00134625, 0.00290433, 0.0043133, 0.00157938, 0.000858647, 0.00351945, 0.00544868, 0.0032693, 0.00938146, 0.0105809, 0.00380179, 0.00395504, 0.00352259, 0.00624378, 0.00368932, 0.00511335, 0.00379995, 0.00357487, 0.00457415, 0.00141234, 0.00144761, 0.00187994, 0.000518856, 0.00132649, 0.000330149, 0.000445632, 6.46933e-05, 0.00242099, 0.00481648, 5.26719e-05, 0.00149451, 5.58079e-05
1, 100, 0.00217184, 0.00162916, 0.00132587, 0.000391916, 0.00340364, 0.001339, 0.00296921, 0.0043653, 0.00157496, 0.000874302, 0.00350805, 0.00550522, 0.00325475, 0.00935475, 0.0106066, 0.0038127, 0.00399815, 0.00349423, 0.00633059, 0.00380572, 0.00516397, 0.003839, 0.00371519, 0.00384061, 0.00125245, 0.000912425, 0.00189414, 0.000411579, 0.0012139, 0.000322141, 0.00041596, 6.52337e-05, 0.00240174, 0.00483931, 4.97718e-05, 0.0014888, 6.44499e-05
2, 106, 0.00238878, 0.00179476, 0.00128725, 0.000439656, 0.00350206, 0.0013612, 0.00306286, 0.00444437, 0.00157818, 0.000895841, 0.00350051, 0.0055405, 0.00324442, 0.00933694, 0.0106159, 0.00381688, 0.00401074, 0.00345392, 0.00632333, 0.00386822, 0.00522417, 0.0038539, 0.00379218, 0.0030049, 0.00101496, 0.00052467, 0.00195332, 0.000339046, 0.00112494, 0.000317538, 0.000395405, 6.55291e-05, 0.00235808, 0.00481804, 4.87272e-05, 0.00147446, 7.39744e-05
3, 108, 0.00267381, 0.00200959, 0.00125126, 0.000518854, 0.00362659, 0.00141846, 0.00318161, 0.00454867, 0.00159463, 0.000924674, 0.00349169, 0.00556222, 0.00323415, 0.00932318, 0.0106159, 0.0038177, 0.00395823, 0.0033887, 0.00621215, 0.00386003, 0.00526965, 0.00383301, 0.00379009, 0.00205624, 0.00070912, 0.000838949, 0.00205852, 0.000308326, 0.00107629, 0.000316421, 0.000386921, 6.55363e-05, 0.00228711, 0.00475155, 4.89105e-05, 0.00144326, 8.33571e-05
4, 108, 0.00300134, 0.00226187, 0.0011978, 0.000632009, 0.003773, 0.00151596, 0.00332088, 0.00467576, 0.00162823, 0.000960873, 0.00347639, 0.00558411, 0.00321811, 0.00930478, 0.0106156, 0.00381966, 0.00382406, 0.0032966, 0.00600581, 0.00378352, 0.00527624, 0.00378011, 0.00371167, 0.00100994, 0.000388054, 0.00159981, 0.00220427, 0.000299875, 0.00107185, 0.000317581, 0.000390558, 6.47217e-05, 0.00219166, 0.00464962, 4.7892e-05, 0.00138898, 9.07008e-05
5, 108, 0.00334837, 0.00253857, 0.0011227, 0.000777566, 0.0039392, 0.00165909, 0.00347848, 0.00482444, 0.00168118, 0.00100404, 0.00345077, 0.00561679, 0.00319201, 0.00927429, 0.0106197, 0.00382516, 0.00363398, 0.0032005, 0.00572656, 0.00366776, 0.00522188, 0.00371597, 0.00358243, 0.000575493, 0.000374456, 0.00252801, 0.00238115, 0.00030004, 0.00110388, 0.000319201, 0.000402678, 6.2613e-05, 0.00208246, 0.0045265, 4.55626e-05, 0.00131376, 9.41488e-05
6, 106, 0.00370586, 0.00283197, 0.00103779, 0.000946854, 0.00412711, 0.00184805, 0.00365475, 0.00499349, 0.00175624, 0.00105495, 0.00341357, 0.0056642, 0.00315484, 0.00922874, 0.0106297, 0.00383462, 0.00345631, 0.00314227, 0.0054096, 0.00356839, 0.0050835, 0.00367463, 0.00345083, 0.00173105, 0.000759544, 0.00355713, 0.00257638, 0.000310596, 0.0011512, 0.000318892, 0.000415946, 5.93321e-05, 0.00197798, 0.00439722, 4.80628e-05, 0.00123112, 9.22221e-05
7, 106, 0.00406577, 0.00313282, 0.00095421, 0.00112799, 0.00433549, 0.00206719, 0.00384594, 0.00517617, 0.00185143, 0.00111314, 0.00336611, 0.00572897, 0.00310728, 0.00916779, 0.0106481, 0.00384875, 0.00335841, 0.00315027, 0.00508981, 0.00353797, 0.00484477, 0.00368913, 0.00336935, 0.00306486, 0.00120571, 0.0046365, 0.00277275, 0.000328967, 0.00118595, 0.000314452, 0.00042199, 5.55699e-05, 0.00189864, 0.00427239, 6.11791e-05, 0.00116121, 8.42338e-05
8, 109, 0.0044033, 0.00342091, 0.000872094, 0.0013076, 0.00455367, 0.0022862, 0.00403975, 0.00535928, 0.00195496, 0.00117415, 0.00331155, 0.00581584, 0.00305072, 0.00909171, 0.0106793, 0.00386931, 0.00335776, 0.00321455, 0.00477993, 0.00359014, 0.0045211, 0.00376942, 0.00336545, 0.00437131, 0.00161483, 0.00570728, 0.00294997, 0.000344242, 0.00118832, 0.000304831, 0.000415623, 5.22692e-05, 0.0018557, 0.00415321, 7.92285e-05, 0.0011192, 7.24945e-05
9, 112, 0.00469074, 0.00367354, 0.000786643, 0.00147348, 0.00476686, 0.00247687, 0.00422137, 0.00553097, 0.00205211, 0.0012324, 0.00325519, 0.00592825, 0.00298898, 0.00900357, 0.0107251, 0.00389699, 0.00342724, 0.00330139, 0.00447631, 0.00369824, 0.00418182, 0.00389106, 0.00343445, 0.00554346, 0.00193272, 0.00670238, 0.00309275, 0.000356116, 0.00116268, 0.000291645, 0.000398792, 4.9919e-05, 0.00184987, 0.00403684, 9.21183e-05, 0.00110771, 6.20153e-05
