frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
11, 143, 0.0047101, 0.00324531, 0.000283217, 0.00133273, 0.00282175, 0.00108957, 0.00256233, 0.00378487, 0.00233558, 0.0012156, 0.00402053, 0.00508623, 0.00413244, 0.0104093, 0.0107938, 0.00400952, 0.00685746, 0.00673174, 0.00205883, 0.00442844, 0.00441777, 0.00546205, 0.00408238, 0.0108204, 0.00112322, 0.0119458, 0.00168993, 0.00416963, 0.00343751, 0.000237873, 0.0014281, 0.000424405, 0.00312611, 0.00360305, 0.000708134, 0.000771619, 0.000981899
12, 144, 0.0046923, 0.00317475, 0.000262429, 0.0012124, 0.0031451, 0.00114454, 0.0028035, 0.00396085, 0.0025409, 0.00132529, 0.00381862, 0.00523937, 0.00402571, 0.0102346, 0.0109039, 0.00406545, 0.00685704, 0.0067438, 0.00200919, 0.00451642, 0.00433189, 0.00550384, 0.00418144, 0.01082, 0.00112077, 0.0119696, 0.00173735, 0.00403704, 0.00333444, 0.000236693, 0.0013829, 0.000429754, 0.0029919, 0.00358284, 0.000717327, 0.000695441, 0.000977272
13, 145, 0.00462037, 0.00303146, 0.000516075, 0.0010709, 0.00347666, 0.00134251, 0.00304151, 0.0041116, 0.00275891, 0.00144416, 0.00362012, 0.00541098, 0.00393461, 0.0100794, 0.0109983, 0.00411654, 0.00684557, 0.00674252, 0.00201228, 0.00458325, 0.0042846, 0.00552377, 0.00427313, 0.0107256, 0.00110594, 0.0119543, 0.00176465, 0.0039337, 0.00326434, 0.000238756, 0.00134215, 0.000434331, 0.00288159, 0.00359467, 0.000737218, 0.00063004, 0.000983882
14, 145, 0.00453329, 0.00285158, 0.000882294, 0.00101113, 0.00380555, 0.00164373, 0.00326837, 0.00424199, 0.00296864, 0.00156465, 0.00343858, 0.00559377, 0.00387179, 0.00995736, 0.0110831, 0.00416513, 0.00683612, 0.00673429, 0.0020923, 0.00464462, 0.0042732, 0.00552141, 0.00437059, 0.0105684, 0.0010896, 0.0119073, 0.00177308, 0.00386278, 0.00323437, 0.000243908, 0.00130648, 0.00043941, 0.00278076, 0.00363623, 0.000765582, 0.000564381, 0.00099794
15, 146, 0.00448998, 0.00268908, 0.00126303, 0.00112235, 0.00412264, 0.00202283, 0.00347656, 0.00435973, 0.00315608, 0.00168179, 0.00328092, 0.00577319, 0.00384295, 0.00987555, 0.0111597, 0.00421167, 0.00683811, 0.0067215, 0.00227519, 0.00471342, 0.00429576, 0.00549752, 0.00448167, 0.0104011, 0.00108311, 0.0118329, 0.00176459, 0.00381638, 0.00323755, 0.000252437, 0.00127633, 0.000446758, 0.00267862, 0.00371596, 0.000797103, 0.000489572, 0.00101352
16, 146, 0.00453239, 0.00258598, 0.00162066, 0.00138217, 0.00441659, 0.00246085, 0.00365706, 0.00446612, 0.00331065, 0.00179122, 0.00314954, 0.00592977, 0.00384579, 0.00983376, 0.0112207, 0.0042525, 0.00684482, 0.00669872, 0.00257646, 0.00477451, 0.00436249, 0.0054532, 0.00460189, 0.0102423, 0.00108097, 0.0117195, 0.00173813, 0.00377355, 0.00325292, 0.000265824, 0.00124737, 0.000457585, 0.00258429, 0.00385676, 0.000828429, 0.000408698, 0.00102892
17, 147, 0.00466655, 0.00255574, 0.00194616, 0.00171196, 0.0046718, 0.00292769, 0.00380046, 0.00455331, 0.00342151, 0.00188738, 0.00304651, 0.006043, 0.00387348, 0.00982903, 0.0112532, 0.00428047, 0.00683705, 0.00666023, 0.00299001, 0.00479107, 0.00449682, 0.00538675, 0.00471598, 0.0100567, 0.00107859, 0.0115453, 0.00168962, 0.00371369, 0.00326005, 0.000286635, 0.00121175, 0.00047256, 0.00252476, 0.00407415, 0.000864112, 0.000334129, 0.00105013
18, 148, 0.00486254, 0.00258211, 0.00223991, 0.00205265, 0.00487091, 0.00338261, 0.00389924, 0.00460714, 0.00347816, 0.00196389, 0.00297623, 0.00610361, 0.0039184, 0.00985679, 0.0112487, 0.00429003, 0.00680728, 0.0066144, 0.00349174, 0.00474105, 0.00473593, 0.00529859, 0.00481403, 0.00978829, 0.00108551, 0.0112916, 0.00161457, 0.00363376, 0.00325649, 0.00031717, 0.00116476, 0.000491407, 0.00252529, 0.00435987, 0.000914715, 0.000276988, 0.00108774
19, 148, 0.00507359, 0.00263708, 0.00249949, 0.00236942, 0.00500308, 0.00379582, 0.00395192, 0.00461508, 0.00347613, 0.00201639, 0.00294528, 0.00611689, 0.00397579, 0.00991008, 0.0112125, 0.00428232, 0.00677155, 0.00658307, 0.00406474, 0.0046354, 0.0051146, 0.00520647, 0.00490529, 0.00940409, 0.00112557, 0.0109511, 0.00151086, 0.00355, 0.00325728, 0.000358015, 0.00110957, 0.000514218, 0.00259751, 0.00469738, 0.000988964, 0.000240652, 0.00114901
20, 148, 0.00526738, 0.00270232, 0.00272482, 0.00264447, 0.00507135, 0.00416044, 0.00396635, 0.00457551, 0.0034214, 0.00204515, 0.00295887, 0.00608879, 0.00404516, 0.0099822, 0.0111598, 0.00426385, 0.00675419, 0.00658801, 0.00471674, 0.00450898, 0.00565383, 0.0051453, 0.00500947, 0.00890766, 0.00123007, 0.0105288, 0.00138054, 0.00348751, 0.00328352, 0.000408835, 0.00105413, 0.000542131, 0.00274055, 0.00508376, 0.00108809, 0.000223503, 0.00123435
