5.86,-1.9112,-36.484,400.18,0.62137,1.0497,-0.011506,0.83399,36.351,400.6,0.6339,0.69663,-0.009999
5.88,-1.9348,-36.544,400.44,0.6215,1.0498,-0.011506,0.80725,36.35,400.61,0.63422,0.69655,-0.009999
5.9,-1.9577,-36.614,400.72,0.62162,1.0498,-0.011506,0.78843,36.352,400.63,0.63451,0.69648,-0.009999
5.92,-1.9867,-36.668,401,0.62175,1.0499,-0.011506,0.73621,36.34,400.58,0.63482,0.69641,-0.009999
5.94,-2.0248,-36.703,401.24,0.62187,1.05,-0.011506,0.63573,36.309,400.4,0.63516,0.69638,-0.009999
5.96,-2.0644,-36.73,401.45,0.62199,1.05,-0.011506,0.5007,36.266,400.07,0.63552,0.69639,-0.009999
5.98,-2.0941,-36.759,401.69,0.6221,1.05,-0.011506,0.35694,36.214,399.61,0.63587,0.69645,-0.009999
6,-2.1098,-36.802,401.99,0.62217,1.05,-0.011506,0.2248,36.151,399.05,0.63615,0.69651,-0.009999
6.02,-2.11,-36.858,402.38,0.62222,1.05,-0.011506,0.11624,36.072,398.47,0.63635,0.69656,-0.009999
6.04,-2.0949,-36.924,402.82,0.62224,1.0501,-0.011506,0.043165,35.984,397.92,0.63645,0.69658,-0.009999
6.06,-2.0665,-36.994,403.3,0.62221,1.0501,-0.011506,0.014253,35.902,397.46,0.63644,0.69658,-0.009999
6.08,-2.0293,-37.055,403.81,0.62215,1.0501,-0.011506,0.031042,35.842,397.12,0.63632,0.69657,-0.009999
6.1,-1.9816,-37.105,404.34,0.62206,1.0501,-0.011506,0.090947,35.814,396.91,0.63613,0.69656,-0.009999
6.12,-1.925,-37.147,404.86,0.62197,1.0501,-0.011506,0.17736,35.809,396.8,0.63589,0.69656,-0.009999
6.14,-1.8673,-37.184,405.35,0.62189,1.0501,-0.011506,0.26479,35.808,396.72,0.63561,0.6966,-0.009999
6.16,-1.8125,-37.211,405.78,0.6218,1.05,-0.011506,0.33454,35.798,396.61,0.6353,0.69667,-0.009999
6.18,-1.7679,-37.227,406.12,0.62172,1.05,-0.011506,0.38462,35.774,396.4,0.635,0.69677,-0.009999
6.2,-1.7461,-37.234,406.34,0.62166,1.05,-0.011506,0.41702,35.739,396.02,0.63471,0.69687,-0.009999
6.22,-1.7499,-37.236,406.43,0.62162,1.05,-0.011506,0.4386,35.696,395.48,0.63446,0.69696,-0.009999
6.24,-1.762,-37.238,406.4,0.62159,1.05,-0.011506,0.46874,35.647,394.86,0.63422,0.69702,-0.009999
6.26,-1.7599,-37.246,406.33,0.62155,1.05,-0.011506,0.53068,35.599,394.33,0.63396,0.69707,-0.009999
6.28,-1.7326,-37.263,406.29,0.62149,1.05,-0.011506,0.63,35.564,394.03,0.63367,0.69713,-0.009999
6.3,-1.6828,-37.29,406.34,0.62139,1.05,-0.011506,0.75606,35.548,393.98,0.63331,0.69723,-0.009999
6.32,-1.6182,-37.323,406.48,0.62126,1.0499,-0.011506,0.89616,35.546,394.16,0.63288,0.69736,-0.009999
6.34,-1.5513,-37.35,406.64,0.6211,1.0499,-0.011506,1.0329,35.546,394.45,0.6324,0.69751,-0.009999
6.36,-1.5041,-37.361,406.75,0.62091,1.0499,-0.011506,1.1413,35.538,394.73,0.63189,0.69762,-0.009999
